upc (ean),price,OriginalPrice,availability,sku,title
0193855607385,48.75,65,2,1130385,Columbia Fire Side Sherpa Jacket - Girls' Columbia Grey XS
0193855605350,48.75,65,12,1130388,Columbia Fire Side Sherpa Jacket - Girls' Pink Orchid S
0193855605336,48.75,65,3,1130389,Columbia Fire Side Sherpa Jacket - Girls' Pink Orchid XXS
0193855605312,48.75,65,7,1130390,Columbia Fire Side Sherpa Jacket - Girls' Pink Orchid XS
0193855605343,48.75,65,11,1130391,Columbia Fire Side Sherpa Jacket - Girls' Pink Orchid M
0196013425630,22.99,45,2,1159140,The North Face Glacier Half Zip Pullover Jacket - Youth Lavender Fog L
0196013425593,22.99,45,0,1159141,The North Face Glacier Half Zip Pullover Jacket - Youth Lavender Fog M
0196013425548,22.99,45,0,1159142,The North Face Glacier Half Zip Pullover Jacket - Youth Lavender Fog S
0196013425661,22.99,45,1,1159143,The North Face Glacier Half Zip Pullover Jacket - Youth Lavender Fog XL
0196013425579,22.99,45,1,1159145,The North Face Glacier Half Zip Pullover Jacket - Youth Fuschia Pink XL
0196013425678,22.99,45,1,1159146,The North Face Glacier Half Zip Pullover Jacket - Youth Fuschia Pink S
0196013443252,57.99,115,1,1182287,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Red XS
0196013443351,57.99,115,1,1182288,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Red S
0196013443450,57.99,115,1,1182289,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Red M
0196013443559,57.99,115,2,1182290,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Red L
0196013443641,57.99,115,1,1182291,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Red XL
0196013443849,48.99,115,0,1182292,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Medium Grey Heather S
0196013444143,57.99,115,0,1182294,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Medium Grey Heather XL
0196013443740,48.99,115,1,1182295,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Medium Grey Heather XS
0196013443832,48.99,115,0,1182298,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Acoustic Blue S
0196013443931,48.99,115,0,1182299,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Acoustic Blue M
0196013444037,48.99,115,0,1182300,The North Face Mount Chimbo Water Repellent Reversible Hooded Jacket - Boys' Acoustic Blue L
0194004593672,60,200,1,1137807,Columbia Pike Lake Cropped Jacket - Women's Black XL
0194004593641,60,200,2,1137809,Columbia Pike Lake Cropped Jacket - Women's Black XXL
0194004593665,60,200,0,1137810,Columbia Pike Lake Cropped Jacket - Women's Black L
0194004593993,54,180,2,1137811,Columbia Pike Lake Cropped Jacket - Women's Black \u002F Chalk \u002F Beach XL
0194004593917,54,180,2,1137814,Columbia Pike Lake Cropped Jacket - Women's Bold Orange \u002F Chalk \u002F Nocturnal XS
0194004593870,54,180,1,1137815,Columbia Pike Lake Cropped Jacket - Women's Bold Orange \u002F Chalk \u002F Nocturnal M
0194004593894,126,180,1,1137816,Columbia Pike Lake Cropped Jacket - Women's Bold Orange \u002F Chalk \u002F Nocturnal L
0194004593863,54,180,2,1137817,Columbia Pike Lake Cropped Jacket - Women's Bold Orange \u002F Chalk \u002F Nocturnal S
0194895461227,69,230,3,1137822,Columbia Pike Lake Cropped Jacket - Women's Black 1X
0194895461203,69,230,4,1137823,Columbia Pike Lake Cropped Jacket - Women's Black 2X
0194895461210,69,230,2,1137824,Columbia Pike Lake Cropped Jacket - Women's Black 3X
0194895461340,69,230,1,1137825,Columbia Pike Lake Cropped Jacket - Women's Stone Green \u002F Black 1X
0194895461333,69,230,2,1137826,Columbia Pike Lake Cropped Jacket - Women's Stone Green \u002F Black 3X
