upc (ean),price,OriginalPrice,availability,sku,title
1.94894E+11,54,180,0,1244829,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's City Grey XL
1.94894E+11,54,180,1,1245393,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's City Grey M
1.94895E+11,54,180,0,1266246,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Warm Copper XL
1.94895E+11,54,180,0,1266279,Columbia Joy Peak Omni-Heat Infinity Mid Insulated Hooded Jacket - Women's Warm Copper M
1.96134E+11,17.4,58,1,1144881,Volcom Walk It Out High Neck Hoodie - Women's Espresso M
1.96134E+11,17.4,58,1,1144882,Volcom Walk It Out High Neck Hoodie - Women's Espresso L
1.96134E+11,17.4,58,0,1144883,Volcom Walk It Out High Neck Hoodie - Women's Espresso XS
1.96134E+11,17.4,57.99,3,1248698,Volcom Walk It Out High Neck Hoodie - Women's Stone Blue S
1.96134E+11,17.4,57.99,5,1248699,Volcom Walk It Out High Neck Hoodie - Women's Stone Blue M
1.96134E+11,17.4,58,2,1272511,Volcom Walk It Out High Neck Hoodie - Women's Stone Blue XS
1.96134E+11,17.4,58,0,1272512,Volcom Walk It Out High Neck Hoodie - Women's Stone Blue L
6.61815E+11,23.4,78,0,1144731,tentree Treefleece Banshee Hoodie - Women's Fig S
6.61815E+11,23.4,78,2,1144732,tentree Treefleece Banshee Hoodie - Women's Fig XL
6.61815E+11,23.4,78,1,1144733,tentree Treefleece Banshee Hoodie - Women's Fig M
6.61815E+11,23.4,78,4,1144734,tentree Treefleece Banshee Hoodie - Women's Fig L
6.61814E+11,31.99,68,2,1144736,tentree Treefleece Banshee Hoodie - Women's Agave Green M
6.61814E+11,31.99,68,2,1144737,tentree Treefleece Banshee Hoodie - Women's Agave Green L
6.61814E+11,31.99,68,2,1144739,tentree Treefleece Banshee Hoodie - Women's Crushed Berry M
6.61814E+11,31.99,68,1,1144740,tentree Treefleece Banshee Hoodie - Women's Crushed Berry L
6.61814E+11,31.99,68,1,1144741,tentree Treefleece Banshee Hoodie - Women's Crushed Berry S
8.40057E+11,9.6,32,18,1038265,Coal The Shelton Ultra Low Vintage Trucker Hat Black One Size
1.93856E+11,60,200,1,1235423,Columbia Autumn Park Down Hooded Jacket - Women's Black M
1.94895E+11,60,200,4,1246606,Columbia Autumn Park Down Hooded Jacket - Women's Peach Blossom L
1.94895E+11,60,200,1,1246607,Columbia Autumn Park Down Hooded Jacket - Women's Peach Blossom XL
1.94895E+11,60,200,1,1248238,Columbia Autumn Park Down Hooded Jacket - Women's Warm Copper S
1.94895E+11,60,200,0,1248240,Columbia Autumn Park Down Hooded Jacket - Women's Peach Blossom S
1.93856E+11,51,170,0,1134258,Columbia Autumn Park Down Jacket - Women's Chalk XL
1.93856E+11,51,170,1,1134260,Columbia Autumn Park Down Jacket - Women's Chalk XS
1.94896E+11,51,170,2,1134261,Columbia Autumn Park Down Jacket - Women's Marionberry M
1.94896E+11,51,170,2,1134262,Columbia Autumn Park Down Jacket - Women's Marionberry L
1.94896E+11,51,170,2,1134263,Columbia Autumn Park Down Jacket - Women's Marionberry XL
1.94896E+11,51,170,1,1134265,Columbia Autumn Park Down Jacket - Women's Marionberry XXL
1.95719E+11,28.8,96,1,1124468,Roxy Bonfire Babe Quilted Half-Zip Pullover - Women's Rustic Brown XS
1.95719E+11,28.8,96,1,1124469,Roxy Bonfire Babe Quilted Half-Zip Pullover - Women's Rustic Brown S
1.95719E+11,28.8,96,1,1124470,Roxy Bonfire Babe Quilted Half-Zip Pullover - Women's Rustic Brown M
1.91455E+11,19.5,65,2,1130860,Columbia Optic Got It III Pullover - Women's Black XL
1.94894E+11,18,60,2,1139326,Columbia Trek French Terry Half Zip Pullover - Women's Chalk \u002F Stacked Gem XL
1.94894E+11,18,60,4,1139330,Columbia Trek French Terry Half Zip Pullover - Women's Mango Heather \u002F Stacked Gem L
1.94894E+11,18,60,2,1139331,Columbia Trek French Terry Half Zip Pullover - Women's Mango Heather \u002F Stacked Gem M
1.94005E+11,18,60,1,1138247,Columbia Columbia Lodge Hybrid Pullover - Women's Black L
1.94005E+11,18,60,1,1138248,Columbia Columbia Lodge Hybrid Pullover - Women's Black S
1.94005E+11,18,60,2,1138249,Columbia Columbia Lodge Hybrid Pullover - Women's Black M
1.94005E+11,18,60,2,1138250,Columbia Columbia Lodge Hybrid Pullover - Women's Black XS
1.94005E+11,18,60,1,1138251,Columbia Columbia Lodge Hybrid Pullover - Women's Black XL
1.94005E+11,31.99,55,1,1138252,Columbia Columbia Lodge Hybrid Pullover - Women's Black \u002F Chalk \u002F Beach XL
1.94005E+11,16.5,55,1,1138253,Columbia Columbia Lodge Hybrid Pullover - Women's Mineral Pink \u002F Malbec S
1.94005E+11,16.5,55,2,1138255,Columbia Columbia Lodge Hybrid Pullover - Women's Mineral Pink \u002F Malbec XS
1.94005E+11,16.5,55,1,1138256,Columbia Columbia Lodge Hybrid Pullover - Women's Mineral Pink \u002F Malbec L
1.94005E+11,16.5,55,1,1138258,Columbia Columbia Lodge Hybrid Pullover - Women's Nocturnal \u002F Dark Nocturnal \u002F Plum M
1.94896E+11,45,150,0,1129536,Columbia Copper Crest Hooded Jacket - Women's Peach Blossom L
1.93856E+11,45,150,1,1129546,Columbia Copper Crest Hooded Jacket - Women's Malbec S
1.93856E+11,45,150,1,1129547,Columbia Copper Crest Hooded Jacket - Women's Malbec XL
1.93856E+11,45,150,1,1129548,Columbia Copper Crest Hooded Jacket - Women's Malbec L
1.93856E+11,45,150,1,1129549,Columbia Copper Crest Hooded Jacket - Women's Malbec M
1.93855E+11,60,200,0,1129451,Columbia Powder Lite Mid Jacket - Women's Malbec L
1.93855E+11,60,200,1,1129452,Columbia Powder Lite Mid Jacket - Women's Malbec S
1.93855E+11,140,200,1,1129455,Columbia Powder Lite Mid Jacket - Women's Malbec M
1.94003E+11,60,200,3,1129456,Columbia Powder Lite Mid Jacket - Women's Tradewinds Grey S
61492059556,10.5,35,0,1161346,Gordini Lily Mitten - Kids' Marlin M
61492046013,10.5,35,1,1161348,Gordini Lily Mitten - Kids' Purple Heat XS
61492046068,10.5,35,1,1161350,Gordini Lily Mitten - Kids' Purple Heat XL
1.94895E+11,30,100,8,1140050,Columbia West Bend Shirt Jacket - Women's Chalk Checkered L
1.94895E+11,30,100,4,1140051,Columbia West Bend Shirt Jacket - Women's Chalk Checkered XL
1.94895E+11,30,100,5,1140052,Columbia West Bend Shirt Jacket - Women's Chalk Checkered S
1.94895E+11,30,100,4,1140053,Columbia West Bend Shirt Jacket - Women's Chalk Checkered M
1.94895E+11,30,100,9,1140054,Columbia West Bend Shirt Jacket - Women's Red Lily Checkered M
1.94895E+11,30,100,6,1140055,Columbia West Bend Shirt Jacket - Women's Red Lily Checkered XL
1.94895E+11,30,100,4,1140056,Columbia West Bend Shirt Jacket - Women's Red Lily Checkered XS
1.94895E+11,30,100,7,1140057,Columbia West Bend Shirt Jacket - Women's Red Lily Checkered S
1.94895E+11,30,100,8,1140058,Columbia West Bend Shirt Jacket - Women's Red Lily Checkered L
1.94895E+11,30,100,1,1140059,Columbia West Bend Shirt Jacket - Women's Warm Copper Checkered XS
1.94895E+11,30,100,1,1140060,Columbia West Bend Shirt Jacket - Women's Warm Copper Checkered L
1.94895E+11,30,100,1,1140062,Columbia West Bend Shirt Jacket - Women's Warm Copper Checkered XL
1.94895E+11,18,60,1,1244474,Columbia Lodge Funnel Pullover - Women's Black Herringbone XS
1.94895E+11,18,60,3,1244475,Columbia Lodge Funnel Pullover - Women's Black Herringbone S
1.94895E+11,18,60,2,1245033,Columbia Lodge Funnel Pullover - Women's Dark Sapphire Terrain Print S
1.94895E+11,18,60,5,1245034,Columbia Lodge Funnel Pullover - Women's Black Herringbone L
1.94895E+11,18,60,5,1274166,Columbia Lodge Funnel Pullover - Women's BLACK HERRINGBONE M
1.94895E+11,18,60,2,1274167,Columbia Lodge Funnel Pullover - Women's DARK SAPPHIRE TERRAIN PRINT XXL
1.94895E+11,18,60,3,1274168,Columbia Lodge Funnel Pullover - Women's BLACK HERRINGBONE XL
1.94895E+11,48,160,2,1139944,Columbia Powder Lite II Full Zip Jacket - Women's City Grey XL
